"mean_train","mean_test"
0.562707643367062,0.564949254646829
0.51321571441671,0.556506704183587
0.543691097512332,0.566456990835113
0.543691097512332,0.562402578771851
0.543691097512332,0.538638248479117
0.543691097512332,0.556506704183587
0.51321571441671,0.564949254646829
0.593793557776937,0.518369858426931
0.602524494445571,0.51321571441671
0.564949254646829,0.591223810659282
0.564949254646829,0.534742385889957
0.566456990835113,0.564949254646829
0.566456990835113,0.556506704183587
0.562402578771851,0.593793557776937
0.571526518118187,0.518369858426931
0.534742385889957,0.602524494445571
0.543691097512332,0.538638248479117
0.518369858426931,0.591223810659282
0.541303017256301,0.564949254646829
0.571526518118187,0.562402578771851
