Trial,ParticipantID,SearchOrder,Fixation,Duration,PupilSize,PositionX,PositionY,StartTime,EndTime,Task,ParticipantGender,Stimulus,SearchType,ActorGender,Directionality,Ostension
1,1_1_f1,1,36,231,4202,847,589.8,9541,9771,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,37,142,4246,1035.2,587.7,9796,9937,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,39,275,4370,1296.3,620.1,10588,10862,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_1_f1,1,40,159,4355,1294.4,584.1,10882,11040,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,1_2_f,NA,5,2327,2506,975.8,493.6,2421,4747,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,9,1744,2280,977.3,466.2,6101,7844,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,8,143,2299,988.5,474.7,5948,6090,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,2,1030,2678,982,535.1,840,1869,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,3,245,2593,902.6,749.7,1920,2164,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,4,185,2605,988.8,723.3,2186,2370,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,10,350,2391,971.4,480.7,7862,8211,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,7,948,2439,991.7,653.6,4951,5898,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,1,629,2678,1010.5,472.7,7,635,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,1_2_f,NA,6,146,2542,996.5,686.9,4795,4940,SocialEngagement,female,f_pl_o1_dir_+o,NA,f,dir,+o
1,2_1_f,NA,2,171,1062,924.1,471.7,566,736,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,4,989,796,955.4,459.8,1214,2202,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,9,1684,978,960.3,448,4722,6405,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,6,944,841,849.6,639.5,2375,3318,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,3,452,1007,952.3,459.8,751,1202,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,5,127,781,888.6,599.6,2230,2356,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,1,509,990,787.5,730.3,7,515,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,8,105,1061,930.5,440.7,4597,4701,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_1_f,NA,7,1065,918,929.5,467.6,3373,4437,SocialEngagement,female,m_pl_o1_div_+o,NA,m,div,+o
1,2_2_f2,2,21,603,1384,520.2,603.4,7624,8226,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,44,231,1586,833.2,754.8,18500,18730,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,45,229,1611,811.4,735.7,18742,18970,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,46,759,1601,783.7,729.6,18981,19739,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,47,147,1610,819.2,716.3,19770,19916,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,48,358,1648,763.6,715.9,19933,20290,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,49,489,1626,858.3,722,20327,20815,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,50,204,1712,863,655.9,20980,21183,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,43,456,1586,808.3,754.1,18017,18472,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,6,262,1610,192.7,693.7,1157,1418,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,7,418,1648,154.9,716.5,1445,1862,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,8,317,1629,212.9,717.1,1888,2204,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,38,180,1590,823.8,805.1,15715,15894,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,39,344,1611,745.4,769.1,15915,16258,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,40,504,1613,726.6,769.6,16267,16770,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,41,527,1603,773,737.9,16809,17335,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,42,640,1593,821.2,773.4,17359,17998,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,5,168,1583,232.2,687.1,978,1145,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,9,213,1585,278.4,706,2228,2440,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,10,239,1533,375.2,729.7,2464,2702,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,11,149,1519,308.3,710.6,2723,2871,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,12,577,1443,228,657.2,2897,3473,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,13,231,1320,263.4,610.9,3492,3722,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,14,610,1360,246.6,629.2,3744,4353,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,20,697,1432,468.3,616.9,6907,7603,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,22,375,1551,541.2,633.5,8244,8618,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,23,319,1581,598.1,663.8,8641,8959,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,24,367,1611,504,660.9,8988,9354,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,25,559,1541,576.3,703.3,9379,9937,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,26,1018,1511,634.4,761.1,9962,10979,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,27,527,1595,689.7,798.2,11016,11542,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,28,619,1512,653.4,883.3,11564,12182,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,29,270,1480,738.9,860.4,12206,12475,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,30,931,1407,883.1,826,12502,13432,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,31,222,1416,905.1,825.4,13452,13673,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,32,334,1460,871.7,826.6,13683,14016,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,33,480,1441,1093.4,913.7,14049,14528,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,34,126,1549,916.5,758.3,14580,14705,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,35,191,1537,755.4,701.3,14741,14931,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,36,304,1509,817.9,722.8,14953,15256,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,37,410,1534,755.5,751.9,15277,15686,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,3,93,1516,469.8,767.3,602,694,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,4,232,1552,283.7,700.9,723,954,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,18,139,1282,466.6,622.3,5661,5799,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,15,488,1432,291.6,647.4,4380,4867,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,16,485,1396,341.7,653.7,4889,5373,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,17,237,1325,398.2,634.6,5396,5632,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,19,678,1376,430.2,647.8,6070,6747,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,1,319,1388,791,241.3,7,325,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,2_2_f2,2,2,162,1475,816.7,658.7,390,551,VisualSearch,female,ng090ws.jpg,Search,NA,NA,NA
1,3_1_f1,1,44,304,1319,1334.8,917.5,13236,13539,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,45,244,1248,1396.4,1001.7,13566,13809,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,1,338,1530,905.7,544.2,7,344,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,50,273,1513,1594.7,1058.5,15188,15460,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,51,176,1509,1662.4,1056.5,15496,15671,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,46,339,1249,1273.9,1051.7,13845,14183,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,47,210,1292,1479.3,1034.6,14230,14439,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,48,222,1379,1550.9,1057.1,14472,14693,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,49,433,1510,1499.1,1075.9,14714,15146,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,52,392,1540,1402.8,1007.2,15718,16109,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,40,257,1500,995.3,939.5,11529,11785,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,41,154,1489,953.5,931.5,11804,11957,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,35,321,1439,477.6,993.9,9996,10316,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,36,238,1390,553.4,947.6,10357,10594,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,37,206,1300,984.7,931.9,10658,10863,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,38,198,1329,895.2,907,10889,11086,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,42,238,1437,914.6,841,11985,12222,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,43,925,1422,863.9,813.5,12244,13168,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,3,186,1344,1040.7,691,694,879,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,4,161,1245,732.8,630,929,1089,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,5,300,1158,540.5,614.5,1117,1416,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,6,250,1170,447.2,811,1464,1713,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,7,405,1223,348.2,761.8,1738,2142,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,8,121,1232,351.4,809,2172,2292,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,53,224,1518,1481.6,649.1,16175,16398,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,54,176,1461,1554.1,693.9,16422,16597,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,55,136,1335,1622.9,723.2,16623,16758,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,56,267,1189,1631.7,538.2,16801,17067,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,57,254,1083,1434.1,544.6,17107,17360,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,58,322,1099,1212.4,561.1,17389,17710,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,18,213,1314,1659.7,668.1,5219,5431,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,34,148,1389,505.3,1019.4,9836,9983,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,9,266,1295,332.1,755.7,2315,2580,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,10,228,1267,1251.8,814.4,2660,2887,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,11,197,1257,1313,788.6,2906,3102,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,12,315,1168,1215.5,788.2,3126,3440,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,39,392,1400,925.8,980.3,11112,11503,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,2,273,1551,911.2,724.1,389,661,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,15,215,1278,1457.3,777.9,4500,4714,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,16,266,1251,1622.8,761.8,4758,5023,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,17,144,1307,1627,745.1,5037,5180,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,19,302,1261,1671.6,683,5443,5744,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,20,199,1237,1606,626.8,5785,5983,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,13,751,1213,1259.4,783.4,3452,4202,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,14,220,1275,1509.1,776.8,4262,4481,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,60,158,1313,668.3,550.1,18070,18227,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,33,196,1288,301.2,896.3,9587,9782,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,65,310,1386,336.5,673,19621,19930,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,66,341,1349,250.3,664.8,19971,20311,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,67,178,1346,640.4,697.4,20373,20550,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,70,125,1464,361.1,669,21049,21173,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,26,186,1246,365.1,493,7301,7486,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,59,265,1167,901.1,546.9,17761,18025,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,28,289,1281,176,558,7772,8060,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,61,223,1450,403.7,549.2,18276,18498,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,62,490,1413,278.1,554.3,18539,19028,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,63,287,1459,346.4,612.5,19068,19354,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,64,219,1445,369.5,652,19379,19597,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,69,213,1397,391.7,648.2,20818,21030,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,24,205,1303,682.3,525.7,6818,7022,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,21,208,1242,1464.3,524.8,6022,6229,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,68,202,1380,555.1,676.7,20574,20775,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,32,256,1230,242.1,958.7,9294,9549,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,29,386,1323,235.4,703.4,8118,8503,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,25,195,1269,498.2,499.7,7065,7259,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,27,223,1248,222.3,569,7530,7752,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,22,215,1237,1098.5,549.4,6278,6492,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,23,248,1289,784.8,541.5,6540,6787,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,30,239,1266,290.5,677.8,8526,8764,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_1_f1,1,31,452,1234,336.6,683.3,8782,9233,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,3_2_f,NA,8,248,2505,971.4,410,3670,3917,SocialEngagement,female,m_pl_o1_dir_-o,NA,m,dir,-o
1,3_2_f,NA,13,159,2594,955.9,378.7,6272,6430,SocialEngagement,female,m_pl_o1_dir_-o,NA,m,dir,-o
1,3_2_f,NA,10,588,2524,957.8,646.8,4315,4902,SocialEngagement,female,m_pl_o1_dir_-o,NA,m,dir,-o
1,3_2_f,NA,7,1238,2417,968.9,419.8,2425,3662,SocialEngagement,female,m_pl_o1_dir_-o,NA,m,dir,-o
1,3_2_f,NA,3,146,2220,951,503.1,597,742,SocialEngagement,female,m_pl_o1_dir_-o,NA,m,dir,-o
1,3_2_f,NA,4,351,2245,963.4,450.1,760,1110,SocialEngagement,female,m_pl_o1_dir_-o,NA,m,dir,-o
1,3_2_f,NA,6,828,2276,946.9,422.5,1579,2406,SocialEngagement,female,m_pl_o1_dir_-o,NA,m,dir,-o
1,3_2_f,NA,9,350,2563,978.2,663.1,3958,4307,SocialEngagement,female,m_pl_o1_dir_-o,NA,m,dir,-o
1,3_2_f,NA,12,250,2552,947.5,417.3,6006,6255,SocialEngagement,female,m_pl_o1_dir_-o,NA,m,dir,-o
1,3_2_f,NA,5,276,2228,947.9,421.8,1121,1396,SocialEngagement,female,m_pl_o1_dir_-o,NA,m,dir,-o
1,3_2_f,NA,11,1045,2398,958,379.8,4944,5988,SocialEngagement,female,m_pl_o1_dir_-o,NA,m,dir,-o
1,3_2_f,NA,2,442,2167,782.9,303.3,112,553,SocialEngagement,female,m_pl_o1_dir_-o,NA,m,dir,-o
1,3_2_f,NA,1,58,2365,809.4,680.1,7,64,SocialEngagement,female,m_pl_o1_dir_-o,NA,m,dir,-o
1,4_2_F1,1,19,270,1189,1493.4,199.7,8875,9144,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,20,182,1273,810,505.8,9201,9382,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,21,729,1478,282.8,467.7,9430,10158,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,18,372,1143,1516.6,182.9,8486,8857,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,1,188,1137,1166.2,373.4,2947,3134,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,2,170,1313,692.9,221.6,3278,3447,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,22,388,1543,260.2,630.3,10189,10576,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,23,22,1536,718.2,662,10639,10660,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,24,99,1499,708.2,675.6,10677,10775,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,25,246,1484,795.3,561.8,10820,11065,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,26,243,1596,881.8,505.7,11090,11332,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,27,377,1668,1254.3,478.2,11378,11754,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,28,191,1611,1321.3,440.4,11778,11968,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,29,199,1638,1090.2,766.7,12021,12219,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,30,355,1658,997.9,785.5,12244,12598,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,31,334,1670,688.2,733.4,12634,12967,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,32,271,1710,223.2,675,13018,13288,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,33,52,1650,977.6,736.4,13478,13529,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,34,300,1706,939.8,759.5,13552,13851,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,35,307,1681,1460.8,875.2,13896,14202,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,36,259,1650,1476.2,988.9,14228,14486,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,37,155,1641,1469.9,975.3,14502,14656,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,38,341,1561,1685.4,584.7,14719,15059,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,39,269,1455,1676.1,89.7,15129,15397,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
1,4_2_F1,1,40,276,1294,1612.7,156.7,15417,15692,VisualSearch,female,ng021ws.jpg,Count,NA,NA,NA
