"mean_train","mean_test"
0.920447847059521,0.931134521140595
0.961511420090757,0.955394108178776
0.961511420090757,0.920447847059521
0.955394108178776,0.90377902135979
0.931134521140595,0.947447169260228
0.969241436184878,0.963045414528228
0.963045414528228,0.985505189474955
0.990834829375978,0.947447169260228
0.961511420090757,0.985505189474955
0.961511420090757,0.947447169260228
0.931134521140595,0.920447847059521
0.963045414528228,0.969241436184878
0.963045414528228,0.955394108178776
0.985505189474955,0.963045414528228
0.985505189474955,0.963045414528228
0.969241436184878,0.90377902135979
0.990834829375978,0.947447169260228
0.963045414528228,0.911469551310189
0.931134521140595,0.990834829375978
0.990834829375978,0.944961915988002
